Time,Number of duplicates
(0,0)
(0.05,0)
(0.1,0)
(0.15,0)
(0.2,0)
(0.25,591)
(0.3,1170)
(0.35,1170)
(0.4,1298)
(0.45,1520)
(0.5,1803)
(0.55,2006)
(0.6,2288)
(0.65,2349)
(0.7,2477)
(0.75,2560)
(0.8,2585)
(0.85,2634)
(0.9,2666)
(0.95,2680)
(1.0,2701)
(1.05,2714)
(1.1,2729)
(1.15,2738)
(1.2,2739)
(1.25,2739)
(1.3,3054)
(1.35,3377)
(1.4,3424)
(1.45,3550)
(1.5,3640)
(1.55,3719)
(1.6,3728)
(1.65,3737)
(1.7,3741)
(1.75,3744)
(1.8,3749)
