Threshold,number_of_attributes
0.0,0
0.05,3
0.1,3
0.15,3
0.2,3
0.25,3
0.3,3
0.35,5
0.4,5
0.45,5
0.5,5
0.55,6
0.6,7
0.65,9
0.7,10
0.75,11
0.8,12
0.85,12
0.9,13
0.95,15
1.0,17
