Time,Number of duplicates
(0,0)
(0.05,0)
(0.1,0)
(0.15,334)
(0.2,1290)
(0.25,1290)
(0.3,1290)
(0.35,1290)
(0.4,1290)
(0.45,1290)
(0.5,1290)
(0.55,1290)
(0.6,1290)
(0.65,1290)
(0.7,1290)
(0.75,1290)
(0.8,1290)
(0.85,1290)
(0.9,1290)
(0.95,1290)
(1.0,1290)
(1.05,1290)
(1.1,1290)
(1.15,1290)
(1.2,1290)
(1.25,1290)
(1.3,1290)
(1.35,1290)
(1.4,1290)
(1.45,1290)
(1.5,1290)
(1.55,1290)
(1.6,1290)
(1.65,1290)
(1.7,1290)
(1.75,1290)
(1.8,1308)
