Threshold,number_of_attributes
0.0,24
0.05,23
0.1,23
0.15,21
0.2,21
0.25,18
0.3,18
0.35,16
0.4,16
0.45,16
0.5,14
0.55,9
0.6,7
0.65,5
0.7,2
0.75,2
0.8,2
0.85,2
0.9,2
0.95,2
1.0,0
