Threshold,f1_score
0.0,0.8346125538849752
0.05,0.8182196917094848
0.1,0.7366001106901102
0.15,0.3563358907343394
0.2,0.24415121359577982
0.25,0.0823927405027606
0.3,0.01864417468811533
0.35,0.009802018860468543
0.4,0.007468240838008072
0.45,0.007531397972878736
0.5,0.012645202881122695
0.55,0.0
0.6,0.0
0.65,0.0
0.7,0.0
0.75,0.0
0.8,0.0
0.85,0.0
0.9,0.0
0.95,0.0
1.0,0.0
