Time,Number of duplicates
(0,0)
(0.05,0)
(0.1,0)
(0.15,0)
(0.2,0)
(0.25,13)
(0.3,66)
(0.35,158)
(0.4,158)
(0.45,158)
(0.5,172)
(0.55,204)
(0.6,248)
(0.65,251)
(0.7,251)
(0.75,251)
(0.8,251)
(0.85,251)
(0.9,251)
(0.95,251)
(1.0,251)
(1.05,251)
(1.1,262)
(1.15,262)
(1.2,263)
(1.25,263)
(1.3,265)
(1.35,265)
(1.4,266)
(1.45,266)
(1.5,266)
(1.55,266)
(1.6,266)
(1.65,266)
(1.7,266)
(1.75,268)
(1.8,268)
(1.85,268)
