Threshold,number_of_attributes
0.0,0
0.05,30
0.1,31
0.15,31
0.2,32
0.25,34
0.3,34
0.35,34
0.4,34
0.45,34
0.5,34
0.55,34
0.6,50
0.65,50
0.7,50
0.75,52
0.8,56
0.85,58
0.9,58
0.95,64
1.0,76
