Threshold,precision
0.0,NaN
0.05,0.6796789831373368
0.1,0.6786907302588847
0.15,0.6790381356915721
0.2,0.6794387104256059
0.25,0.6792912308370248
0.3,0.6785325015653626
0.35,0.7708156234620375
0.4,0.7702738990332976
0.45,0.7724709042076991
0.5,0.7708468508781743
0.55,0.9738755723134931
0.6,1.0
0.65,1.0
0.7,1.0
0.75,NaN
0.8,NaN
0.85,NaN
0.9,NaN
0.95,NaN
1.0,NaN
