Threshold,number_of_attributes
0.0,0
0.05,4
0.1,4
0.15,4
0.2,4
0.25,4
0.3,4
0.35,6
0.4,6
0.45,6
0.5,6
0.55,7
0.6,8
0.65,10
0.7,11
0.75,12
0.8,13
0.85,13
0.9,14
0.95,16
1.0,18
