Threshold,precision
0.0,NaN
0.05,0.020952518267156193
0.1,0.030787664844232066
0.15,0.0394576200742915
0.2,0.0394576200742915
0.25,0.0394576200742915
0.3,0.0394576200742915
0.35,0.0394576200742915
0.4,0.0394576200742915
0.45,0.0394576200742915
0.5,0.0394576200742915
0.55,0.0394576200742915
0.6,0.03489837156781172
0.65,0.0
0.7,0.0
0.75,0.0
0.8,0.0
0.85,0.0
0.9,0.0
0.95,0.0
1.0,NaN
