Threshold,number_of_attributes
0.0,0
0.05,32
0.1,33
0.15,34
0.2,34
0.25,34
0.3,34
0.35,34
0.4,34
0.45,34
0.5,34
0.55,34
0.6,36
0.65,52
0.7,52
0.75,54
0.8,58
0.85,59
0.9,61
0.95,67
1.0,86
