Threshold,number_of_attributes
0.0,0
0.05,4
0.1,4
0.15,5
0.2,5
0.25,6
0.3,6
0.35,6
0.4,6
0.45,6
0.5,6
0.55,6
0.6,6
0.65,6
0.7,6
0.75,6
0.8,6
0.85,6
0.9,6
0.95,6
1.0,6
