Threshold,number_of_attributes
0.0,0
0.05,16
0.1,16
0.15,17
0.2,17
0.25,17
0.3,17
0.35,18
0.4,18
0.45,18
0.5,19
0.55,19
0.6,20
0.65,20
0.7,21
0.75,21
0.8,21
0.85,22
0.9,22
0.95,23
1.0,107
