Threshold,precision
0.0,0.7456140350877193
0.05,NaN
0.1,NaN
0.15,NaN
0.2,NaN
0.25,NaN
0.3,NaN
0.35,NaN
0.4,NaN
0.45,NaN
0.5,NaN
0.55,NaN
0.6,NaN
0.65,NaN
0.7,NaN
0.75,NaN
0.8,NaN
0.85,NaN
0.9,NaN
0.95,NaN
1.0,NaN
