Threshold,number_of_attributes
0.0,0
0.05,31
0.1,32
0.15,33
0.2,33
0.25,33
0.3,33
0.35,33
0.4,33
0.45,33
0.5,33
0.55,33
0.6,35
0.65,51
0.7,51
0.75,53
0.8,57
0.85,58
0.9,60
0.95,66
1.0,83
