Threshold,number_of_attributes
0.0,0
0.05,32
0.1,33
0.15,33
0.2,34
0.25,36
0.3,36
0.35,36
0.4,36
0.45,36
0.5,36
0.55,36
0.6,52
0.65,52
0.7,52
0.75,54
0.8,58
0.85,60
0.9,60
0.95,66
1.0,80
