Threshold,precision
0.0,NaN
0.05,0.08482142857142858
0.1,0.08482142857142858
0.15,0.1462882096069869
0.2,0.1462882096069869
0.25,0.5897435897435898
0.3,0.5897435897435898
0.35,0.5897435897435898
0.4,0.5897435897435898
0.45,0.5897435897435898
0.5,0.5897435897435898
0.55,0.5897435897435898
0.6,0.5897435897435898
0.65,0.5897435897435898
0.7,0.5897435897435898
0.75,0.5897435897435898
0.8,0.5897435897435898
0.85,0.5897435897435898
0.9,0.5897435897435898
0.95,0.5897435897435898
1.0,0.5897435897435898
