Threshold,number_of_attributes
0.0,0
0.05,15
0.1,15
0.15,16
0.2,16
0.25,16
0.3,16
0.35,17
0.4,17
0.45,17
0.5,18
0.55,18
0.6,19
0.65,19
0.7,20
0.75,20
0.8,20
0.85,21
0.9,21
0.95,22
1.0,36
