Threshold,number_of_attributes
0.0,0
0.05,3
0.1,3
0.15,4
0.2,4
0.25,5
0.3,5
0.35,5
0.4,5
0.45,5
0.5,5
0.55,5
0.6,5
0.65,5
0.7,5
0.75,5
0.8,5
0.85,5
0.9,5
0.95,5
1.0,5
