Time,Number of duplicates
(0,0)
20,0
40,0
60,0
80,3013
100,3013
120,3279
140,3716
160,4707
180,5670
200,6210
220,6567
240,6951
260,7262
280,7505
300,7722
320,7772
340,7772
360,7772
380,8383
400,8383
420,8592
440,8915
460,9055
480,9193
500,9266
520,9306
540,9349
560,9381
580,9412
600,9429
620,9430
640,9430
660,9430
680,9652
700,9661
720,9661
740,9683
760,9762
