Threshold,precision
0.0,NaN
0.05,0.1754051477597712
0.1,0.1754051477597712
0.15,0.24848942598187312
0.2,0.24848942598187312
0.25,0.5703883495145631
0.3,0.5703883495145631
0.35,0.5703883495145631
0.4,0.5703883495145631
0.45,0.5703883495145631
0.5,0.5703883495145631
0.55,0.5703883495145631
0.6,0.5703883495145631
0.65,0.5703883495145631
0.7,0.5703883495145631
0.75,0.5703883495145631
0.8,0.5703883495145631
0.85,0.5703883495145631
0.9,0.5703883495145631
0.95,0.5703883495145631
1.0,0.5703883495145631
