Time,Number of duplicates
(0,0)
(0.05,0)
(0.1,0)
(0.15,11)
(0.2,16)
(0.25,25)
(0.3,113)
(0.35,175)
(0.4,186)
(0.45,191)
(0.5,196)
(0.55,208)
(0.6,216)
(0.65,217)
(0.7,217)
(0.75,219)
(0.8,219)
(0.85,230)
(0.9,231)
(0.95,231)
(1.0,235)
(1.05,235)
(1.1,236)
(1.15,236)
(1.2,236)
(1.25,236)
(1.3,236)
(1.35,236)
(1.4,236)
(1.45,236)
(1.5,236)
(1.55,236)
(1.6,236)
(1.65,236)
(1.7,236)
(1.75,236)
(1.8,236)
(1.85,236)
(1.9,236)
(1.95,236)
(2.0,236)
