Threshold,number_of_attributes
0.0,0
0.05,2
0.1,2
0.15,3
0.2,3
0.25,3
0.3,3
0.35,3
0.4,3
0.45,3
0.5,3
0.55,3
0.6,3
0.65,3
0.7,3
0.75,3
0.8,3
0.85,3
0.9,3
0.95,3
1.0,3
