Threshold,number_of_attributes
0.0,0
0.05,2
0.1,2
0.15,2
0.2,2
0.25,3
0.3,3
0.35,3
0.4,3
0.45,3
0.5,3
0.55,4
0.6,4
0.65,4
0.7,4
0.75,4
0.8,4
0.85,4
0.9,4
0.95,4
1.0,4
