Time,Number of duplicates
(0,0)
(0.05,0)
(0.1,0)
(0.15,0)
(0.2,168)
(0.25,1001)
(0.3,1252)
(0.35,1252)
(0.4,1252)
(0.45,1252)
(0.5,1252)
(0.55,1252)
(0.6,1252)
(0.65,1252)
(0.7,1252)
(0.75,1252)
(0.8,1252)
(0.85,1252)
(0.9,1252)
(0.95,1252)
(1.0,1252)
(1.05,1252)
(1.1,1252)
(1.15,1252)
(1.2,1252)
(1.25,1252)
(1.3,1252)
(1.35,1252)
(1.4,1252)
(1.45,1252)
(1.5,1252)
(1.55,1252)
(1.6,1252)
(1.65,1252)
(1.7,1252)
(1.75,1252)
(1.8,1252)
