Threshold,precision
0.0,0.7216494845360825
0.05,0.4803921568627451
0.1,0.2921646746347942
0.15,0.21948608137044967
0.2,0.05394190871369295
0.25,0.08114035087719298
0.3,0.11041009463722397
0.35,0.109375
0.4,NaN
0.45,NaN
0.5,NaN
0.55,NaN
0.6,NaN
0.65,NaN
0.7,NaN
0.75,NaN
0.8,NaN
0.85,NaN
0.9,NaN
0.95,NaN
1.0,NaN
