Threshold,number_of_attributes
0.0,0
0.05,5
0.1,5
0.15,5
0.2,5
0.25,6
0.3,6
0.35,6
0.4,6
0.45,6
0.5,6
0.55,7
0.6,7
0.65,7
0.7,7
0.75,7
0.8,7
0.85,7
0.9,7
0.95,7
1.0,7
