Threshold,precision
0.0,0.7216494845360825
0.05,0.48157248157248156
0.1,0.29333333333333333
0.15,0.22066738428417654
0.2,0.0546875
0.25,0.08131868131868132
0.3,0.11041009463722397
0.35,0.109375
0.4,NaN
0.45,NaN
0.5,NaN
0.55,NaN
0.6,NaN
0.65,NaN
0.7,NaN
0.75,NaN
0.8,NaN
0.85,NaN
0.9,NaN
0.95,NaN
1.0,NaN
