Time,Number of duplicates
(0,0)
(0.05,0)
(0.1,0)
(0.15,424)
(0.2,1207)
(0.25,1207)
(0.3,1345)
(0.35,1791)
(0.4,2113)
(0.45,2380)
(0.5,2534)
(0.55,2582)
(0.6,2659)
(0.65,2703)
(0.7,2727)
(0.75,2758)
(0.8,2780)
(0.85,2798)
(0.9,2808)
(0.95,2820)
(1.0,2821)
(1.05,2821)
(1.1,3545)
(1.15,3545)
(1.2,3696)
(1.25,3862)
(1.3,3967)
(1.35,4004)
(1.4,4017)
(1.45,4026)
(1.5,4028)
(1.55,4032)
(1.6,4033)
(1.65,4035)
(1.7,4039)
(1.75,4039)
