Time,Number of duplicates
(0,0)
1,0
2,0
3,0
4,0
5,0
6,19
7,132
8,137
9,137
10,137
11,137
12,137
13,137
14,137
15,148
16,183
17,221
18,226
19,227
20,228
21,230
22,231
23,231
24,231
25,231
26,232
27,232
28,232
29,232
30,232
31,232
32,232
33,232
34,234
35,235
36,235
37,235
38,235
39,235
40,235
41,235
42,235
